candidate_id,manufacturer,model,display_name,rated_kw,diameter_m,hub_height_m,cut_in_m_s,rated_m_s,cut_out_m_s,spacing_long_d,spacing_trans_d,curve_file,curve_kind,curve_quality,category,source_name,source_url,source_note
gen_onshore_2p5_120,Velantis Generic,GEN-ONSHORE-2.5MW-D120,Genérica terrestre 2.5 MW · D120 m,2500,120,110,3,9.4,25,7,4,curves/gen_onshore_2p5_120.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_3p0_112,Velantis Generic,GEN-ONSHORE-3MW-D112,Genérica terrestre 3 MW · D112 m,3000,112,100,3,10.5,25,7,4,curves/gen_onshore_3p0_112.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_3p2_130,Velantis Generic,GEN-ONSHORE-3.2MW-D130,Genérica terrestre 3.2 MW · D130 m,3200,130,110,3,9.7,25,7,4,curves/gen_onshore_3p2_130.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_3p3_155,Velantis Generic,GEN-ONSHORE-3.3MW-D155,Genérica terrestre 3.3 MW · D155 m,3300,155,120,3,8.7,25,7,4,curves/gen_onshore_3p3_155.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_3p4_132,Velantis Generic,GEN-ONSHORE-3.4MW-D132,Genérica terrestre 3.4 MW · D132 m,3400,132,110,3,9.8,25,7,4,curves/gen_onshore_3p4_132.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_3p45_126,Velantis Generic,GEN-ONSHORE-3.45MW-D126,Genérica terrestre 3.45 MW · D126 m,3450,126,105,3,10.2,25,7,4,curves/gen_onshore_3p45_126.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_4p0_145,Velantis Generic,GEN-ONSHORE-4MW-D145,Genérica terrestre 4 MW · D145 m,4000,145,120,3,9.7,25,7,4,curves/gen_onshore_4p0_145.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_4p2_136,Velantis Generic,GEN-ONSHORE-4.2MW-D136,Genérica terrestre 4.2 MW · D136 m,4200,136,115,3,10.3,25,7,4,curves/gen_onshore_4p2_136.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_4p2_150,Velantis Generic,GEN-ONSHORE-4.2MW-D150,Genérica terrestre 4.2 MW · D150 m,4200,150,125,3,9.7,25,7,4,curves/gen_onshore_4p2_150.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_4p5_155,Velantis Generic,GEN-ONSHORE-4.5MW-D155,Genérica terrestre 4.5 MW · D155 m,4500,155,125,3,9.7,25,7,4,curves/gen_onshore_4p5_155.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_4p8_133,Velantis Generic,GEN-ONSHORE-4.8MW-D133,Genérica terrestre 4.8 MW · D133 m,4800,133,110,3,10.9,25,7,4,curves/gen_onshore_4p8_133.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_5p0_165,Velantis Generic,GEN-ONSHORE-5MW-D165,Genérica terrestre 5 MW · D165 m,5000,165,130,3,9.6,25,7,4,curves/gen_onshore_5p0_165.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_5p7_149,Velantis Generic,GEN-ONSHORE-5.7MW-D149,Genérica terrestre 5.7 MW · D149 m,5700,149,125,3,10.7,25,7,4,curves/gen_onshore_5p7_149.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_5p7_169,Velantis Generic,GEN-ONSHORE-5.7MW-D169,Genérica terrestre 5.7 MW · D169 m,5700,169,135,3,9.9,25,7,4,curves/gen_onshore_5p7_169.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_6p0_175,Velantis Generic,GEN-ONSHORE-6MW-D175,Genérica terrestre 6 MW · D175 m,6000,175,140,3,9.8,25,7,4,curves/gen_onshore_6p0_175.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_6p7_191,Velantis Generic,GEN-ONSHORE-6.7MW-D191,Genérica terrestre 6.7 MW · D191 m,6700,191,145,3,9.6,25,7,4,curves/gen_onshore_6p7_191.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_onshore_7p0_170,Velantis Generic,GEN-ONSHORE-7MW-D170,Genérica terrestre 7 MW · D170 m,7000,170,135,3,10.5,25,7,4,curves/gen_onshore_7p0_170.csv,generic_parametric,approximate,generic_onshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_8p0_167,Velantis Generic,GEN-OFFSHORE-8MW-D167,Genérica marina 8 MW · D167 m,8000,167,110,3,11.0,25,8,5,curves/gen_offshore_8p0_167.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_10p0_190,Velantis Generic,GEN-OFFSHORE-10MW-D190,Genérica marina 10 MW · D190 m,10000,190,125,3,10.9,25,8,5,curves/gen_offshore_10p0_190.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_11p0_200,Velantis Generic,GEN-OFFSHORE-11MW-D200,Genérica marina 11 MW · D200 m,11000,200,130,3,10.8,25,8,5,curves/gen_offshore_11p0_200.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_12p0_220,Velantis Generic,GEN-OFFSHORE-12MW-D220,Genérica marina 12 MW · D220 m,12000,220,140,3,10.5,25,8,5,curves/gen_offshore_12p0_220.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_14p0_222,Velantis Generic,GEN-OFFSHORE-14MW-D222,Genérica marina 14 MW · D222 m,14000,222,145,3,10.9,25,8,5,curves/gen_offshore_14p0_222.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_14p0_236,Velantis Generic,GEN-OFFSHORE-14MW-D236,Genérica marina 14 MW · D236 m,14000,236,150,3,10.5,25,8,5,curves/gen_offshore_14p0_236.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
gen_offshore_16p0_260,Velantis Generic,GEN-OFFSHORE-16MW-D260,Genérica marina 16 MW · D260 m,16000,260,165,3,10.3,25,8,5,curves/gen_offshore_16p0_260.csv,generic_parametric,approximate,generic_offshore,Velantis parametric screening model,,"Aproximación paramétrica físicamente plausible a ρ=1,225 kg/m³, construida con potencia nominal, diámetro y control genérico de Cp/CT. No es una curva OEM ni certificada."
spec_vestas_v150_4p5,Vestas,V150-4.5 MW,Vestas V150-4.5 MW · aproximación por ficha pública,4500,150,105,3,9.8,24.5,7.0,4.0,curves/spec_vestas_v150_4p5_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Vestas · ficha técnica pública V150-4.5 MW,https://www.vestas.com/en/energy-solutions/onshore-wind-turbines/4-mw-platform/v150-4-5-mw,"Potencia nominal, diámetro, velocidades de arranque/parada y altura de buje anclados a la ficha pública. La forma de potencia y CT entre puntos es una aproximación paramétrica Velantis; no es una curva OEM ni certificada."
spec_vestas_v163_4p5,Vestas,V163-4.5 MW,Vestas V163-4.5 MW · aproximación por ficha pública,4500,163,126,3,9.3,24,7.5,4.5,curves/spec_vestas_v163_4p5_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Vestas · ficha técnica pública V163-4.5 MW,https://www.vestas.com/en/energy-solutions/onshore-wind-turbines/4-mw-platform/V163-4-5-MW,"Potencia nominal, diámetro, velocidades de arranque/parada y altura de buje anclados a la ficha pública. La forma de potencia y CT entre puntos es una aproximación paramétrica Velantis; no es una curva OEM ni certificada."
spec_sg_5p0_145,Siemens Gamesa,SG 5.0-145,Siemens Gamesa SG 5.0-145 · aproximación por ficha pública,5000,145,127.5,3,10.4,25,7.0,4.0,curves/spec_sg_5p0_145_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Siemens Gamesa · ficha técnica pública SG 5.0-145,https://www.siemensgamesa.com/global/en/home/products-and-services/onshore/wind-turbine-sg-5-0-145.html,"Potencia nominal, diámetro y altura de buje anclados a la ficha pública. Cut-in, cut-out, forma de potencia y CT son hipótesis paramétricas de screening de Velantis; no es una curva OEM ni certificada."
spec_sg_7p0_170,Siemens Gamesa,SG 7.0-170,Siemens Gamesa SG 7.0-170 · aproximación por ficha pública,7000,170,135,3,10.5,25,7.5,4.5,curves/spec_sg_7p0_170_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Siemens Gamesa · ficha técnica pública SG 7.0-170,https://www.siemensgamesa.com/global/en/home/products-and-services/onshore/wind-turbine-sg-7-0-170.html,"Potencia nominal, diámetro y altura de buje anclados a la ficha pública. Cut-in, cut-out, forma de potencia y CT son hipótesis paramétricas de screening de Velantis; no es una curva OEM ni certificada."
spec_ge_6p1_158,GE Vernova,6.1-158,GE Vernova 6.1-158 · aproximación por ficha pública,6100,158,121,3,10.5,25,7.0,4.0,curves/spec_ge_6p1_158_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,GE Vernova · ficha técnica pública 6.1 MW-158 m,https://www.gevernova.com/wind-power/wind-turbines/onshore-wind-turbines-6mw,"Potencia nominal, diámetro, velocidades de arranque/parada y altura de buje anclados a la ficha pública. La forma de potencia y CT es una aproximación paramétrica Velantis; no es una curva OEM ni certificada."
spec_nordex_n163_5x,Nordex,N163/5.X (5.7 MW screening),Nordex N163/5.X · 5.7 MW · aproximación por ficha pública,5700,163,159,3,10.1,26,7.5,4.5,curves/spec_nordex_n163_5x_5p7_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Nordex · ficha técnica pública N163/5.X,https://www.nordex-online.com/en/product/n163-5-x/,"Diámetro y rango de potencia/operación anclados a la ficha pública. Se adopta 5,7 MW como rating de screening y 159 m como altura representativa. La forma de potencia y CT es paramétrica; no es una curva OEM ni certificada."
spec_nordex_n175_6x,Nordex,N175/6.X (6.8 MW screening),Nordex N175/6.X · 6.8 MW · aproximación por ficha pública,6800,175,179,3,10.2,20,8.0,5.0,curves/spec_nordex_n175_6x_6p8_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Nordex · ficha técnica pública N175/6.X,https://www.nordex-online.com/en/product/n175-6-x/,"Diámetro, rango de potencia, velocidades de arranque/parada y altura máxima anclados a la ficha pública. Se adopta 6,8 MW como rating de screening. La forma de potencia y CT es paramétrica; no es una curva OEM ni certificada."
spec_nordex_n133_4p8,Nordex,N133/4.8,Nordex N133/4.8 · aproximación por ficha pública,4800,133.2,110,3,10.9,28,6.5,4.0,curves/spec_nordex_n133_4p8_approx.csv,spec_anchored_parametric,spec_based_approximation,commercial_spec_approximation,Nordex · ficha técnica pública N133/4.8,https://www.nordex-online.com/en/product/n133-4-8/,"Potencia nominal, diámetro y velocidades de arranque/parada anclados a la ficha pública. La altura de buje es representativa y la forma de potencia/CT es una aproximación paramétrica Velantis; no es una curva OEM ni certificada."
